name,nFunctions,nCoroutines,nChannels,nClasses,should,error,actual,detected,loopy
test427,4,1,5,5,true,NoError,true,true,false
test428,2,1,3,2,true,NoError,false,false,true
test429,4,4,5,4,false,NoError,true,true,false
test430,6,6,6,5,true,NoError,true,true,false
test431,5,1,2,0,false,GraphError,false,false,true
test432,3,1,8,3,false,NoError,true,false,true
test433,3,6,1,0,false,KotlinRuntimeError,false,false,true
test434,4,8,7,1,false,NoError,true,true,false
test435,4,2,1,5,false,NoError,false,false,true
test436,5,8,3,3,false,NoError,true,true,true
test437,8,3,1,3,true,NoError,true,true,true
test438,4,6,3,1,false,NoError,false,false,true
test439,4,3,1,1,false,NoError,false,true,true
test440,5,8,4,1,true,NoError,true,true,true
test441,8,5,7,5,false,KotlinCompileError,false,false,false
test442,7,7,1,4,true,NoError,true,true,true
test443,6,6,4,4,true,NoError,true,true,false
test444,6,7,2,1,false,KotlinCompileError,false,false,true
test445,8,2,1,4,false,NoError,false,false,true
test446,7,8,8,1,false,NoError,false,false,false
test447,4,4,1,3,true,NoError,false,true,false
test448,4,4,2,1,false,NoError,false,false,false
test449,7,7,1,3,false,NoError,true,true,true
test450,3,3,6,0,true,NoError,true,true,false
test451,4,7,3,2,false,NoError,true,true,true
test452,2,5,8,0,false,NoError,true,true,false
test453,6,7,2,4,true,NoError,false,false,false
test454,8,7,3,0,true,NoError,false,true,false
test455,7,5,5,4,true,NoError,true,false,false
test456,4,7,1,0,true,NoError,false,false,false
test457,5,5,1,2,false,NoError,true,false,true
test458,8,2,5,5,true,KotlinCompileError,false,false,false
test459,5,1,1,5,false,NoError,false,false,false
test460,6,5,2,3,true,InvalidModelError,true,false,true
test461,7,6,4,2,true,NoError,true,true,true
test462,6,5,8,0,false,NoError,true,true,true
test463,6,5,7,4,false,NoError,true,true,false
test464,4,1,8,1,false,NoError,true,false,false
test465,8,7,4,3,true,NoError,true,false,true
test466,2,5,3,0,false,NoError,false,true,true
test467,2,2,7,1,false,NoError,false,false,false
test468,2,3,4,5,false,NoError,true,true,false
test469,4,4,3,4,false,KotlinCompileError,false,false,true
test470,3,3,8,1,true,KotlinCompileError,false,false,false
test471,6,1,3,5,false,KotlinRuntimeError,false,false,true
test472,4,8,2,1,true,NoError,true,true,false
test473,7,2,5,5,false,KotlinCompileError,false,false,false
test474,8,7,4,4,false,NoError,true,true,false
test475,5,3,3,4,false,GraphError,false,false,true
test476,5,2,8,3,false,KotlinCompileError,false,false,false
test477,7,8,3,0,true,NoError,true,true,false
test478,8,4,6,2,true,NoError,true,true,false
test479,3,3,2,0,false,NoError,false,false,false
test480,2,5,7,3,true,NoError,true,true,false
test481,7,3,7,5,false,NoError,true,true,false
test482,3,3,7,1,true,NoError,false,false,false
test483,6,4,8,0,true,NoError,true,true,false
test484,4,7,6,3,false,NoError,true,true,true
test485,8,6,3,3,false,NoError,true,true,true
test486,7,8,6,1,false,NoError,true,true,true
test487,2,6,6,1,false,NoError,false,true,true
test488,3,1,7,2,true,NoError,true,true,false
test489,8,1,1,2,true,NoError,true,true,false
test500,3,3,4,2,false,NoError,true,true,false
test501,2,5,5,2,false,NoError,false,false,false
test502,5,2,2,3,true,NoError,true,true,true
test503,4,5,5,0,false,GraphError,false,false,false
test504,4,1,3,0,true,GraphError,false,false,false
test505,4,2,3,3,true,NoError,true,true,false
test506,5,3,2,1,false,NoError,true,true,false
test507,4,1,5,2,false,KotlinRuntimeError,false,false,true
test508,2,5,2,3,true,NoError,true,true,false
test509,5,1,2,2,false,NoError,true,true,true
test510,1,2,2,0,false,NoError,false,false,true
test511,2,3,1,3,false,NoError,true,true,true
test512,1,2,1,0,true,NoError,true,true,false
test513,4,5,2,3,true,NoError,true,true,true
test514,5,2,2,2,false,NoError,true,true,true
test515,3,4,1,0,false,NoError,false,true,true
test516,2,1,4,3,false,WriteToPromError,true,false,false
test517,2,3,1,2,true,NoError,false,false,false
test518,4,5,5,1,false,NoError,false,true,true
test519,2,3,4,0,true,NoError,true,true,false
test520,2,1,2,1,true,NoError,true,true,false
test521,5,3,1,0,false,NoError,true,true,true
test522,3,2,4,0,true,GraphError,true,false,false
test523,1,2,4,3,false,NoError,false,false,true
test524,5,3,4,3,false,NoError,false,false,false
test525,3,5,2,2,false,KotlinCompileError,false,false,true
test526,1,4,4,2,true,NoError,true,true,false
test527,3,3,5,1,false,NoError,true,false,false
test528,1,4,1,2,false,NoError,false,false,false
test529,3,4,3,0,false,NoError,false,false,false
test530,2,5,4,2,false,NoError,false,true,true
test531,4,1,3,3,false,NoError,true,true,false
test532,4,5,1,0,true,NoError,true,true,false
test533,2,1,4,0,true,NoError,true,true,false
test534,2,3,1,3,false,NoError,false,false,true
test535,5,4,4,2,true,NoError,true,true,true
test536,3,4,1,3,true,KotlinCompileError,false,false,false
test537,4,4,3,1,false,NoError,true,true,true
test538,4,5,5,1,false,NoError,true,true,false
test539,3,4,1,1,false,KotlinRuntimeError,false,false,true
test540,5,4,1,1,false,NoError,false,false,false
test541,1,3,2,2,true,NoError,false,false,true
test542,3,3,2,2,true,NoError,false,false,true
test543,1,1,3,1,false,NoError,false,false,false
test544,1,5,3,2,true,NoError,true,true,true
test545,3,1,1,1,true,NoError,true,true,false
test546,3,2,2,0,true,NoError,false,false,false
test547,2,1,5,3,true,NoError,true,true,false
test548,3,2,4,1,false,NoError,false,false,false
test549,4,2,4,1,false,NoError,false,false,false
test550,2,4,5,3,false,NoError,true,true,true
test551,1,4,2,0,false,KotlinRuntimeError,false,false,true
